year,month,temp_moy,gap_temp,nb_disasters,nb_deaths,total_damages
2014,3,14.1420429146178,-0.423150866774076,0,0,0
2014,4,16.8798620094868,0.786317487993582,0,0,0
2014,5,17.2901531263292,-0.746270984483708,0,0,0
2014,6,20.2993462628024,0.14645831119795,1,0,0
2014,7,20.6976241900648,-0.45778649760468,0,0,0
2014,8,19.8042669584245,-1.36091832373999,0,0,0
2014,9,20.1090650317495,0.614513156084701,1,6,1.82e+08
2014,10,18.8285328345802,1.2129557276198,0,0,0
2014,11,16.139663093415,1.30634802580821,2,10,3.03e+08
2014,12,13.3121734565309,0.200449397046546,0,0,0
2015,1,13.2777807106599,0.628358341022048,0,0,0
2015,2,12.7691510920964,-0.300464992892398,0,0,0
2015,3,13.4688933873144,-1.09630039407746,0,0,0
2015,4,15.7201828110162,-0.373361710477038,0,0,0
2015,5,17.0302820267686,-1.00614208404432,0,0,0
2015,6,20.0101244316822,-0.142763519922202,1,3275,0
2015,7,21.4124107759612,0.257000088291754,0,0,0
2015,8,20.5080565195835,-0.657128762580967,0,0,0
2015,9,17.4834231460098,-2.01112872965503,1,3,0
2015,10,15.3090456017942,-2.30653150516621,1,20,9.24e+08
2015,11,14.4490890790136,-0.384225988593178,0,0,0
2015,12,13.9916666666667,0.879942607182292,0,0,0
2016,1,12.8444014482915,0.19497907865361,0,0,0
2016,2,12.6880622416727,-0.381553843316013,0,0,0
2016,3,14.0125189845953,-0.552674796796529,0,0,0
2016,4,15.7382282755516,-0.355316245941644,0,0,0
2016,5,17.9304675382229,-0.105956572590085,1,5,2.4e+09
2016,6,20.2930423221803,0.140154370575921,0,0,0
2016,7,21.6016659663865,0.44625527871704,0,0,0
2016,8,21.9939797211661,0.828794439001594,0,0,0
2016,9,21.2569743701129,1.76242249444815,0,0,0
2016,10,17.8934692991971,0.277892192236756,0,0,0
2016,11,15.8146563192905,0.981341251683689,0,0,0
2016,12,13.5581958655252,0.446471806040787,0,0,0
2017,1,11.4740200166806,-1.17540235295724,0,0,0
2017,2,14.4744371162156,1.40482103122685,0,0,0
2017,3,15.9449284253579,1.37973464396602,1,2,5.5e+08
2017,4,16.5724968579808,0.478952336487549,0,0,0
2017,5,19.0810933448574,1.04466923404445,0,0,0
2017,6,21.371595159516,1.21870720791161,1,1,0
2017,7,22.3042371020856,1.14882641441612,1,0,0
2017,8,22.3046150500218,1.1394297678573,0,0,0
2017,9,18.9235082522217,-0.571043623443092,0,0,0
2017,10,18.3836119647613,0.768034857800931,0,0,0
2017,11,14.861392541496,0.0280774738892529,0,0,0
2017,12,13.4241704219582,0.312446362473816,0,0,0
2018,1,14.7782441200325,2.12882175039462,3,6,5.72e+08
2018,2,12.0864475461504,-0.983168538838346,1,3,0
2018,3,14.0293778062861,-0.535815975105789,0,0,0
2018,4,15.8828950935213,-0.210649427971912,0,0,0
2018,5,17.7149469873287,-0.321477123484275,0,0,0
2018,6,20.6908382590006,0.537950307396159,0,0,0
2018,7,22.329696345857,1.1742856581875,1,0,0
2018,8,22.5421579059374,1.37697262377293,0,0,0
2018,9,21.167658242004,1.67310636633925,0,0,0
2018,10,18.4449209443362,0.829343837375763,2,14,3.4e+08
2018,11,16.0345848056537,1.20126973804694,0,0,0
2018,12,15.1116591928251,1.9999351333407,0,0,0
2019,1,12.8219512195122,0.172528849874363,0,0,0
2019,2,14.690514541387,1.62089845639827,0,0,0
2019,3,15.8608881645956,1.29569438320375,0,0,0
2019,4,16.4416154335383,0.348070912045039,0,0,0
2019,5,17.5961959892495,-0.440228121563404,0,0,0
2019,6,20.6545042125729,0.501616260968515,1,567,0
2019,7,22.4438809723386,1.28847028466915,1,868,0
2019,8,21.5262092478159,0.361023965651409,1,0,0
2019,9,20.0687255328403,0.574173657175511,0,0,0
2019,10,18.4997729618163,0.884195854855882,2,4,0
2019,11,15.1530042016807,0.319689134073901,3,10,3.15e+08
2019,12,14.9595160634404,1.84779200395607,2,2,1e+08
2020,1,14.0398355601233,1.39041319048548,1,0,0
2020,2,15.3416007036061,2.27198461861732,1,0,0
2020,3,15.4266464646465,0.861452683254663,0,0,0
2020,4,17.7460759493671,1.65253142787389,0,0,0
2020,5,19.2953191489362,1.25889503812325,1,0,0
2020,6,19.67815219817,-0.474735753434363,1,0,0
2020,7,21.3758913043479,0.220480616678415,1,1924,0
2020,8,21.9170208333333,0.751835551168831,0,0,0
2020,9,20.2505573080968,0.756005432431984,1,2,5.3e+07
2020,10,17.1857534246575,-0.429823682302857,1,18,9.67e+08
2020,11,15.9541313559322,1.12081628832538,0,0,0
2020,12,14.0631712473573,0.951447187872919,0,0,0
2021,1,12.7010401497816,0.051617780143717,0,0,0
2021,2,14.8613137032843,1.79169761829555,1,0,1e+07
2021,3,15.1184928716904,0.553299090298525,0,0,0
2021,4,15.8366170212765,-0.256927500216674,1,0,5.6e+09
2021,5,17.4380095178977,-0.598414592915187,0,0,0
2021,6,20.7688931706273,0.61600521902291,1,1,0
2021,7,21.1293832877289,-0.0260273999405669,2,0,0
2021,8,20.6803510273972,-0.484834254767282,0,0,0
2021,9,20.4170615083677,0.922509632702901,1,0,0
2021,10,17.627495908347,0.0119188013866207,1,0,0
2021,11,13.5148886283705,-1.31842643923631,1,1,0
2021,12,13.5723162583519,0.460592198867525,1,0,2.3e+07
2022,1,12.4314169694379,-0.218005400199921,0,0,0
2022,2,14.2765872079301,1.20697112294139,1,0,0
2022,3,15.4136723634848,0.848478582092902,0,0,0
2022,4,16.4606823027718,0.367137781278629,0,0,0
2022,5,19.7620885818773,1.72566447106435,0,0,0
2022,6,21.2400210304942,1.08713307888979,1,1,0
2022,7,22.5854089601317,1.42999827246218,1,0,0
2022,8,22.8171333054742,1.65194802330976,1,5,0
2022,9,20.0446599872096,0.55010811154477,0,0,0
2022,10,19.552863617635,1.93728651067456,1,0,0
2022,11,16.2346623794213,1.40134731181448,0,0,0
